ReleaseNote_FileList of X512JA_20H1_X64_V5.00
================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
File Name                                                                                       Description                                                                                                                                                                                            Version                Vendor               FilePath                                                                                                                       Hardware ID
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Driver\DCH\Offline\GPIO\Intel\GPIO_DCH\30.100.1947.1\15483                                      Intel SoC GPIO Controller driver                                                                                                                                                                       V30.100.1947.1         Intel                Drivers\SerialIO\Intel\Icelake\V30.100.1947.1_PV\GPIO\V30.100.1947.1_GPIO_19H2_ICL-U.zip                                       ACPI\INT3455;ACPI\INT34C3;ACPI\VEN_INT&DEV_3455;ACPI\VEN_INT&DEV_34C3;

Driver\DCH\Offline\UART\Intel\UART_DCH\30.100.1947.1\15482                                      Intel Serial IO UART driver                                                                                                                                                                            V30.100.1947.1         Intel                Drivers\SerialIO\Intel\Icelake\V30.100.1947.1_PV\UART\V30.100.1947.1_UART_19H2_ICL-U.zip                                       ACPI\INTC1029;ACPI\VEN_INTC&DEV_1029;PCI\VEN_8086&DEV_34A8;PCI\VEN_8086&DEV_34A9;PCI\VEN_8086&DEV_34C7;PCI\VEN_8086&DEV_38A8;PCI\VEN_8086&DEV_38A9;PCI\VEN_8086&DEV_38C7;

Driver\DCH\Offline\I2C\Intel\I2C_DCH\30.100.1947.1\15480                                        Intel(R) Serial IO I2C Host Controller driver                                                                                                                                                          V30.100.1947.1         Intel                Drivers\SerialIO\Intel\Icelake\V30.100.1947.1_PV\I2C\V30.100.1947.1_I2C_19H2_ICL-U.zip                                         PCI\VEN_8086&DEV_34C5;PCI\VEN_8086&DEV_34C6;PCI\VEN_8086&DEV_34E8;PCI\VEN_8086&DEV_34E9;PCI\VEN_8086&DEV_34EA;PCI\VEN_8086&DEV_34EB;PCI\VEN_8086&DEV_38C5;PCI\VEN_8086&DEV_38C6;PCI\VEN_8086&DEV_38E8;PCI\VEN_8086&DEV_38E9;PCI\VEN_8086&DEV_38EA;PCI\VEN_8086&DEV_38EB;

Driver\DCH\Offline\SPI\Intel\SPI_DCH\30.100.1947.1\15481                                        Intel Serial IO SPI Driver                                                                                                                                                                             V30.100.1947.1         Intel                Drivers\SerialIO\Intel\Icelake\V30.100.1947.1_PV\SPI\V30.100.1947.1_SPI_19H2_ICL-U.zip                                         PCI\VEN_8086&DEV_34AA;PCI\VEN_8086&DEV_34AB;PCI\VEN_8086&DEV_34FB;PCI\VEN_8086&DEV_38AA;PCI\VEN_8086&DEV_38AB;PCI\VEN_8086&DEV_38FB;

